"m_auteur_fk","m_conversation_fk","COUNT( DISTINCT `m_id` )"
"1","4","7"
"1","5","2"
"1","7","4"
"1","13","1"
"1","15","1"
"2","4","2"
"2","6","2"
"2","9","1"
"2","10","1"
"2","12","1"
"2","13","1"
"3","5","4"
"3","6","2"
"3","8","1"
"3","9","1"
"3","11","1"
"3","12","3"
"3","13","2"
"3","15","1"
"4","5","1"
"4","7","5"
"4","8","1"
"4","10","1"
"4","11","1"
"4","12","2"
"4","13","1"
"4","15","1"
"5","1","24"
"5","4","2"
"5","6","2"
"5","8","1"
"5","9","3"
"5","10","1"
"5","15","1"
"6","5","2"
"6","6","1"
"6","7","4"
"6","8","1"
"6","9","4"
"6","10","1"
"6","11","1"
"6","12","1"
"6","13","1"
"6","14","1"
"6","15","3"
"7","4","1"
"7","5","3"
"7","6","2"
"7","9","2"
"7","11","1"
"7","12","1"
"7","13","1"
"8","6","2"
"8","7","3"
"8","9","4"
"8","10","2"
"8","11","1"
"8","15","1"
"9","7","3"
"9","9","2"
"9","11","1"
"9","13","2"
"9","14","3"
"9","15","1"
"10","1","25"
"10","4","2"
"10","5","1"
"10","7","2"
"10","9","1"
"10","11","1"
"10","12","2"
"11","4","1"
"11","5","4"
"11","6","3"
"11","7","1"
"11","8","1"
"11","12","1"
"11","15","1"
"12","5","2"
"12","6","3"
"12","7","1"
"12","8","1"
"12","9","1"
"12","11","1"
"12","13","1"
"12","14","1"
"12","15","2"
"13","4","4"
"13","5","1"
"13","9","2"
"13","12","1"
"14","3","75"
"14","4","2"
"14","8","1"
"14","11","1"
"14","13","2"
"14","14","2"
"14","15","1"
"15","1","22"
"15","5","1"
"15","6","3"
"15","7","3"
"15","8","1"
"15","10","2"
"15","11","1"
"15","15","1"
"16","4","1"
"16","5","4"
"16","6","3"
"16","8","1"
"16","12","1"
"16","13","1"
"17","4","1"
"17","5","1"
"17","8","1"
"17","11","1"
"17","12","1"
"17","13","1"
"17","14","1"
"17","15","1"
"18","4","3"
"18","5","1"
"18","6","2"
"18","7","3"
"18","10","1"
"18","11","1"
"18","12","1"
"18","14","3"
"18","15","1"
"19","2","53"
"19","4","1"
"19","5","2"
"19","9","1"
"19","10","1"
"19","11","1"
"19","12","1"
"19","14","1"
"20","1","29"
"20","5","2"
"20","6","2"
"20","7","2"
"20","8","1"
"20","11","3"
"20","12","2"
"20","13","1"
"20","15","1"
"21","4","3"
"21","6","2"
"21","7","5"
"21","10","1"
"21","11","2"
"21","12","1"
"21","13","2"
"21","14","1"
"22","4","1"
"22","6","1"
"22","9","1"
"22","10","1"
"22","15","2"
"23","4","1"
"23","6","1"
"23","7","4"
"23","9","1"
"23","10","1"
"23","12","3"
"23","13","1"
"23","14","2"
"24","3","86"
"24","4","6"
"24","5","2"
"24","6","1"
"24","8","3"
"24","9","1"
"24","12","1"
"25","4","2"
"25","5","1"
"25","6","3"
"25","7","3"
"25","8","1"
"25","9","1"
"25","11","1"
"25","13","1"
"26","4","2"
"26","5","1"
"26","6","3"
"26","8","1"
"26","9","1"
"26","10","2"
"26","11","1"
"26","13","1"
"26","14","1"
"27","4","7"
"27","5","1"
"27","7","1"
"27","10","1"
"27","11","1"
"27","12","2"
"27","13","1"
"27","14","2"
"27","15","1"
"28","4","2"
"28","5","3"
"28","6","2"
"28","7","2"
"28","8","2"
"28","12","1"
"28","13","2"
"29","9","1"
"29","10","1"
"29","12","1"
"29","14","1"
"29","15","1"
"30","4","1"
"30","6","2"
"30","7","1"
"30","10","2"
"30","12","1"
"30","14","1"
"31","6","3"
"31","7","1"
"31","8","2"
"31","9","2"
"31","11","2"
"31","12","1"
"32","4","1"
"32","6","1"
"32","7","1"
"32","8","1"
"32","9","1"
"32","11","2"
"32","12","1"
"32","13","1"
"33","6","1"
"33","9","1"
"33","12","1"
"33","13","1"
"33","15","1"
