"m_id","m_contenu","m_date","m_auteur_fk","m_conversation_fk","c_id","c_date","c_termine"
"67","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque","2012-01-05 14:19:05","20","1","1","2012-03-01 10:21:37","0"
"76","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis","2012-01-05 18:07:54","15","1","1","2012-03-01 10:21:37","0"
"85","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer","2012-01-05 22:21:50","15","1","1","2012-03-01 10:21:37","0"
"4","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non,","2012-01-06 20:01:16","20","1","1","2012-03-01 10:21:37","0"
"11","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna","2012-01-07 22:49:52","10","1","1","2012-03-01 10:21:37","0"
"71","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus","2012-01-08 04:06:13","15","1","1","2012-03-01 10:21:37","0"
"31","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut","2012-01-09 13:13:09","10","1","1","2012-03-01 10:21:37","0"
"7","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida","2012-01-09 20:33:59","10","1","1","2012-03-01 10:21:37","0"
"30","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus.","2012-01-10 00:15:31","15","1","1","2012-03-01 10:21:37","0"
"69","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam","2012-01-10 01:42:54","5","1","1","2012-03-01 10:21:37","0"
"72","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer","2012-01-10 11:00:00","10","1","1","2012-03-01 10:21:37","0"
"21","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper.","2012-01-11 08:01:36","15","1","1","2012-03-01 10:21:37","0"
"13","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper.","2012-01-11 17:19:56","15","1","1","2012-03-01 10:21:37","0"
"26","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus","2012-01-11 21:27:37","20","1","1","2012-03-01 10:21:37","0"
"5","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam","2012-01-12 05:40:07","20","1","1","2012-03-01 10:21:37","0"
"92","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","2012-01-13 09:59:38","10","1","1","2012-03-01 10:21:37","0"
"56","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec","2012-01-14 00:02:31","15","1","1","2012-03-01 10:21:37","0"
"50","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus.","2012-01-14 02:58:46","20","1","1","2012-03-01 10:21:37","0"
